date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),reward,activeAddresses,medianTxValue(USD)
2016/2/14,25414.51663,62,1452892,1,52365,0,,
2016/2/15,56517.2136,73,1451615,1,95454,0,,
2016/2/16,18102.78752,30,1451615,1,58641,0,,
2016/2/17,268097.0936,99,1451600,1,169298,0,,
2016/2/18,47982.92002,60,1451600,1,71827,0,,
2016/2/19,26786.58992,40,1451600,1,50866,0,,
2016/2/20,30640.87076,61,1451600,1,57051,0,,
2016/2/21,28478.71279,93,1451600,1,55018,0,,
2016/2/22,19443.5455,55,1451600,1,46520,0,,
2016/2/23,32252.3437,56,1451600,1,107259,0,,
2016/2/24,29778.2209,66,1451600.45,1,85160,0,,
2016/2/25,496945.2346,195,1451373.55,0.999844,433922,0,,
2016/2/26,111925.4674,82,1451600,1,102891,0,,
2016/2/27,73924.8566,61,1451600,1,96721,0,,
2016/2/28,45114.49877,57,1451600,1,114084,0,,
2016/2/29,68167.57044,49,1451629,1,77532,0,,
2016/3/1,336111.0741,70,1451600.064,1,143221,0,,
2016/3/2,36529.32898,65,1451587.096,0.999991,61533,0,,
2016/3/3,64503.24376,55,1451543.839,0.999961,179492,0,,
2016/3/4,29095.30106,76,1451598.548,0.999999,150575,0,,
2016/3/5,184693.0733,131,1451600,1,354905,0,,
2016/3/6,81931.04532,107,1451599.903,1,279531,0,,
2016/3/7,44788.47233,22,1451597,0.999998,143086,0,,
2016/3/8,57789.20395,22,1451597.097,0.999998,144215,0,,
2016/3/9,38036.0508,30,1451600.418,1,158280,0,,
2016/3/10,29260.98514,38,1451447.292,0.999895,126353,0,,
2016/3/11,39305.54045,32,1451591.548,0.999994,92528,0,,
2016/3/12,22670.33378,23,1451593.16,0.999995,253278,0,,
2016/3/13,20668.01138,46,1451449.065,0.999896,209067,0,,
2016/3/14,51931.27016,81,1451479.227,0.999917,369834,0,,
2016/3/15,40016.02454,61,1451591.29,0.999994,72352,0,,
2016/3/16,18876.6,29,1451600,1,74773,0,,
2016/3/17,70527.2251,54,1451599.677,1,219091,0,,
2016/3/18,66995.43851,41,1451571.226,0.999983,326978,0,,
2016/3/19,66359.7054,31,1451593,0.999998,119685,0,,
2016/3/20,16719.02274,20,1451588,0.999998,82858,0,,
2016/3/21,85980.68958,48,1451588.548,0.999998,188116,0,,
2016/3/22,44456.68268,39,1451590,0.999999,118249,0,,
2016/3/23,74476.04152,25,1451590,0.999999,82970,0,,
2016/3/24,32886.56726,40,1451589.193,0.999999,108214,0,,
2016/3/25,13641.056,18,1451551.807,0.999973,32068,0,,
2016/3/26,12678.8378,22,1451591,1,43612,0,,
2016/3/27,64869.20147,48,1451591,1,111330,0,,
2016/3/28,39133.25478,44,1451591,1,112757,0,,
2016/3/29,943172.2462,56,1451591,1,1042210,0,,
2016/3/30,79819.79733,38,1451591,1,204201,0,,
2016/3/31,128172.8744,49,1451591,1,147747,0,,
2016/4/1,122585.3824,45,1451591,1,50033,0,,
2016/4/2,124117.7107,23,1451591,1,103658,0,,
2016/4/3,51871.29913,80,1451591,1,99267,0,,
2016/4/4,532874.9962,98,1451591,1,486533,0,,
2016/4/5,59443.66205,26,1451591,1,115498,0,,
2016/4/6,56311.82377,50,1451620,1,82048,0,,
2016/4/7,6230.538298,17,1451620,1,44185,0,,
2016/4/8,353469.9787,25,1451591,1,441626,0,,
2016/4/9,24103.87834,63,1451591,1,117876,0,,
2016/4/10,4193.426479,29,1451591,1,173469,0,,
2016/4/11,10009.52717,38,1451590.771,1,38497,0,,
2016/4/12,342049.4497,49,1451367.455,0.999846,430502,0,,
2016/4/13,163286.8224,41,1451591,1,173569,0,,
2016/4/14,417958.4543,39,1451591,1,349208,0,,
2016/4/15,66130.98132,19,1451591,1,79197,0,,
2016/4/16,51439.37503,17,1451591,1,66411,0,,
2016/4/17,27361.37221,39,1451591,1,121920,0,,
2016/4/18,229555.5141,35,1451591,1,160979,0,,
2016/4/19,78315.25517,27,1451591,1,116370,0,,
2016/4/20,73474.15519,42,1451591,1,103226,0,,
2016/4/21,203689.9768,65,1451591,1,278840,0,,
2016/4/22,158854.6106,62,1451591,1,143608,0,,
2016/4/23,502151.8509,31,1451591,1,512936,0,,
2016/4/24,42019.07652,23,1451591,1,68016,0,,
2016/4/25,367369.1543,57,1451591,1,298864,0,,
2016/4/26,503331.0875,48,1451591,1,515109,0,,
2016/4/27,1012492.759,39,1451591,1,481952,0,,
2016/4/28,576895.7426,70,1951591,1,544476,500000,,
2016/4/29,187019.2771,51,1951591,1,146006,0,,
2016/4/30,534424.8873,81,1951591,1,454278,0,,
2016/5/1,20638.76152,33,1951591,1,49006,0,,
2016/5/2,92171.67392,52,1951591,1,193440,0,,
2016/5/3,422976.6683,27,1951591,1,408428,0,,
2016/5/4,300432.3856,24,1951591,1,215176,0,,
2016/5/5,1200700.369,33,1951591,1,753773,0,,
2016/5/6,2697793.765,47,1951591,1,2747610,0,,
2016/5/7,34305.71699,41,1951591,1,73083,0,,
2016/5/8,45545.17353,16,1951591,1,80059,0,,
2016/5/9,397959.2986,27,1951591,1,324466,0,,
2016/5/10,6493842.603,51,1951591,1,6102180,0,,
2016/5/11,231174.029,27,1951591,1,270254,0,,
2016/5/12,356506.9779,25,1951591,1,168513,0,,
2016/5/13,4384.477892,21,1957953,1,62149,0,,
