date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses,medianTxValue(USD),medianFee,averageDifficulty,paymentCount,blockSize,blockCount
2018-08-31,45888460.0555217,52893,1346778579.6591086,12.92,190517000.0,24597.25,19.238360119155374,29035,12.9449929648,0.00042,209709277852778.2,45715,9760750,6137
2018-09-01,12518117.17704901,44118,1344807246.3993948,12.9,182146000.0,24150.25,15.946280398934341,20989,12.903776661213694,4.20042e-05,208317606029566.06,37018,8731652,6025
2018-09-02,12153101.767534796,43167,1381077599.2685673,13.25,153472000.0,24488.0,14.439493834782116,20065,13.251918035632016,2.31e-05,203247586192410.78,36172,8591073,6109
2018-09-03,29590989.0650132,46032,1394466378.6600282,13.37,285040000.0,24802.75,17.694561300772808,21621,13.377111570641905,0.000336,220164965786804.4,38993,9099870,6188
2018-09-04,18390235.148094792,45512,1468232417.0529327,14.08,185368000.0,24375.75,16.439394746946153,20424,14.0585055424,5.7571e-05,223794903181794.9,38610,9061147,6081
2018-09-05,48097603.50402678,45003,1458961535.3439865,13.99,237372000.00000003,24642.75,16.32313302680972,20954,13.987302406629555,0.00021,222209082525502.0,38147,8901682,6148
2018-09-06,21976793.707813937,42626,1238934481.0575957,11.87,222766000.0,24471.5,14.944619926195452,19961,11.864842366299998,6.3e-05,225051962564298.03,35878,8793614,6106
2018-09-07,70415530.98556069,41875,1249065695.1769233,11.97,179172000.0,24695.5,14.558698366133168,20190,11.9671886061,2.31e-05,234985537656773.22,35286,8477048,6162
2018-09-08,46938171.682965465,40809,1221347949.2558985,11.7,168330000.0,24532.5,14.409216093734658,19438,11.689892019,3.43783e-05,238461116199929.28,34501,8394554,6120
2018-09-09,23925243.082363077,40190,1149612645.968861,11.01,177693000.0,24554.0,12.47590832293063,19192,10.899899999999999,2.31e-05,241213424845523.4,33799,8247616,6126
2018-09-10,16878816.44205002,42086,1178751248.04947,11.29,169260000.0,24478.5,15.300337281156073,19732,9.907368662508269,3.1253e-05,242972720977439.0,35474,8558931,6106
2018-09-11,28918551.164292485,45725,1188899452.6678445,11.38,182031000.0,24565.5,16.098828084070174,22142,11.375595633492106,0.000105,248735984356138.06,38955,9008659,6129
2018-09-12,33126755.856942266,48238,1181256875.05145,11.3,195188000.0,24270.0,21.35730706414453,24663,11.301185381510745,0.00042,245170014684750.3,41631,9208853,6054
2018-09-13,20142237.444962338,44419,1122907601.638814,10.74,192363000.0,23967.0,15.459170825935999,20524,10.7335614774,4.62e-05,231187490173217.12,37837,8747402,5980
2018-09-14,17450896.57558491,43025,1168663911.030909,11.18,193196000.0,24049.25,15.550392338241128,19608,11.162555846,0.000105,219935185995565.38,36319,8626200,5999
2018-09-15,10822300.454880843,44533,1146154453.14336,10.96,156127000.0,24732.25,15.502603091615466,19036,6.8135031999999995,0.0001,219482250503184.7,34674,9089181,6170
2018-09-16,12385900.832229465,53913,1181882030.4099822,11.3,153507000.0,24461.75,16.93916675198587,18737,2.3838553676000003,0.00015,216344843270051.0,35000,10560430,6104
2018-09-17,15772226.733312583,56056,1173180092.2562864,11.21,164247000.0,24320.75,20.20677288319417,19528,2.459486370235,0.0002,216567257657709.8,35862,10891736,6067
2018-09-18,21495713.05872313,53710,1078609113.3811321,10.31,165477000.0,24082.0,21.538283273652162,19607,2.584878891220572,0.0002,218460510138495.06,34634,10492323,6008
2018-09-19,19895621.761769462,57530,1110455880.691381,10.61,177159000.0,24583.0,21.84646371785712,21185,2.202083930111632,0.0002,216631781551943.4,36511,11006553,6133
2018-09-20,13298169.585299145,51374,1130767974.7896152,10.8,169241000.0,24282.5,22.093583369534578,20671,5.400941425349148,0.00042,214494222238363.75,37175,10069453,6058
2018-09-21,21337474.501956154,53254,1170351893.3573265,11.18,247447999.99999997,24434.5,23.329846446741353,24719,6.230160008284574,0.00042,206177329985326.47,41667,10141498,6095
2018-09-22,41293149.92708137,45444,1222672764.9465382,11.67,167522000.0,24564.75,15.29721750636359,20263,11.656449029400001,9.3964e-05,209928975566668.3,35774,9023978,6129
2018-09-23,12165367.503196506,42713,1198374752.9448276,11.44,162975000.0,24412.25,13.565295445093835,19357,8.369440079,2.31e-05,207268223579711.53,33788,8702383,6090
2018-09-24,13436225.758317787,43448,1214969007.831674,11.59,145599000.0,24527.75,13.548949102106215,19437,7.333656922833115,2.31e-05,207933979750516.1,34920,8887040,6118
2018-09-25,17376044.841076262,43765,1159010835.3074844,11.06,183283000.0,24574.25,14.263808260364547,19266,7.6415103883999995,2.31e-05,213152924219523.12,34913,9263080,6130
2018-09-26,10675574.150519887,43508,1159986114.267516,11.06,154050000.0,24501.25,15.32460179478696,20032,10.414069560062071,3.43783e-05,219627671675407.56,35438,8706811,6113
2018-09-27,21798384.622135587,43357,1154286688.7259195,11.01,175910000.0,24459.75,15.57318464236652,20156,9.57791677062,2.31e-05,220237852189220.0,35643,8668905,6103
2018-09-28,13927387.274104955,42574,1195673990.6749556,11.4,157811000.0,24636.5,14.489500111282334,19641,11.32662608779109,2.31e-05,221306549281480.12,35199,8580518,6147
2018-09-29,8529735.634419335,43189,1180671448.0263157,11.25,155294000.0,24340.25,14.572107721038877,19327,9.8836035075,2.8503e-05,218537396281913.72,35264,8650660,6073
2018-09-30,11410302.16855948,42942,1194393529.7352164,11.38,197595000.0,24312.0,15.680373263094134,19516,9.104000000000001,3.43783e-05,219669754875296.75,34499,8731196,6065
2018-10-01,12128588.240658605,50268,1187226516.8483498,11.31,178803000.0,24145.25,17.74367928830559,19518,4.396484278458335,0.000377118,211763667305183.2,34599,9517097,6024
2018-10-02,7325407.550035454,42902,1175756040.537153,11.2,148728000.0,24625.5,14.251788153949452,19459,9.973936,2.31e-05,209722164188563.88,35578,8602807,6145
2018-10-03,11459253.524363386,43716,1170684842.688849,11.15,160819000.0,24498.75,16.576237373574244,21194,5.916338607156817,0.0001667015,214372866155643.94,36500,8830117,6113
