date,txVolume(USD),txCount,paymentCount,activeAddresses,medianTxValue(USD),fees,medianFee,marketcap(USD),price(USD),exchangeVolume(USD)
2018-05-18,,,,,,,,26077004866.052326,0.6654,344944000.0
2018-05-19,,,,,,,,26678923588.495483,0.680759,249039008.00000003
2018-05-20,,,,,,,,26541719510.043587,0.677258,275614016.0
2018-05-21,,,,,,,,27450260543.17491,0.700441,250480992.0
2018-05-22,,,,,,,,26733476024.04727,0.682151,234712991.99999997
2018-05-23,,,,,,,,25419945858.416435,0.648634,482480992.00000006
2018-05-24,,,,,,,,23482903298.450626,0.599207,440532992.0
2018-05-25,,,,,,,,24804271457.703697,0.632924,289816000.0
2018-05-26,,,,,,,,23910505042.260063,0.610118,213242000.0
2018-05-27,,,,,,,,23985828160.905376,0.61204,186963008.0
2018-05-28,,,,,,,,23841922597.148693,0.608368,327903008.0
2018-05-29,,,,,,,,21792914298.23032,0.556084,380744000.0
2018-05-30,,,,,,,,23661687934.045334,0.603769,320604992.0
2018-05-31,,,,,,,,23649264714.241074,0.603452,283328000.0
2018-06-01,,,,,,,,24050856501.840767,0.612893,263088000.0
2018-06-02,,,,,,,,24465600187.837418,0.623462,315206016.0
2018-06-03,,,,,,,,25248468629.098537,0.643412,327804000.0
2018-06-04,,,,,,,,27173422437.847137,0.692466,558131008.0
2018-06-05,,,,,,,,25973887475.75542,0.661898,386328000.0
2018-06-06,,,,,,,,26601869614.233788,0.677901,273966016.0
2018-06-07,,,,,,,,26502194477.021923,0.675313,244567999.99999997
2018-06-08,,,,,,,,26591396799.773235,0.677586,221887008.0
2018-06-09,,,,,,,,26481198769.225937,0.674778,175990000.0
2018-06-10,,,,,,,,25882173582.10879,0.659514,492555008.0
2018-06-11,,,,,,,,23004937559.404976,0.586198,336547008.0
2018-06-12,,,,,,,,23630413414.007122,0.602136,309544000.0
2018-06-13,,,,,,,,22088465126.764156,0.562845,359864992.0
2018-06-14,,,,,,,,21013309709.702633,0.535435,379824992.0
2018-06-15,,,,,,,,21979803828.056175,0.560062,241684992.0
2018-06-16,,,,,,,,21078888613.458324,0.537106,202682000.0
2018-06-17,,,,,,,,21017273485.231953,0.535536,166028000.0
2018-06-18,,,,,,,,20753702018.9329,0.52882,276527008.0
2018-06-19,,,,,,,,21138070533.417805,0.538614,255400000.0
2018-06-20,,,,,,,,21574635302.483215,0.549738,256920000.0
2018-06-21,,,,,,,,21162167150.729656,0.539228,194312000.0
2018-06-22,,,,,,,,20999809325.413868,0.535091,339428992.0
2018-06-23,,,,,,,,19124590176.9084,0.487309,204927008.0
2018-06-24,,,,,,,,19299781217.22492,0.491773,369520000.0
2018-06-25,,,,,,,,18732176062.57089,0.477106,231728992.0
2018-06-26,,,,,,,,18939283557.716694,0.482381,179426000.0
2018-06-27,,,,,,,,17885887700.670258,0.455551,215618000.0
2018-06-28,,,,,,,,18466142236.781414,0.47033,220566000.0
2018-06-29,67732718.2952262,726958,12228,5183,373.91378515582295,1127.977148,2.2e-05,17603318386.0213,0.448354,309777984.0
2018-06-30,38771912.17084683,670115,10235,4103,239.001171847744,1110.438304,2.2e-05,17829389542.111397,0.454112,345528992.0
2018-07-01,28437293.521238327,628482,7948,3597,228.005862146824,654.897118,2.2e-05,18293938678.35564,0.465944,267224992.0
2018-07-02,76324820.18023717,642953,11559,4559,261.6532368344,986.9248,2.2e-05,18123619699.87054,0.461606,335919008.0
2018-07-03,127346841.2689312,725911,13440,5218,332.392899536703,1240.964557,2.2e-05,19091548184.832268,0.486259,410225984.0
2018-07-04,57594282.78932017,629670,11449,4337,269.94335215214403,946.849625,1.5e-05,19065046269.013584,0.485584,313828992.0
2018-07-05,58009990.5591053,683353,11511,4168,305.6926854876,1004.719273,2.1e-05,19255166663.178642,0.490422,279999008.0
2018-07-06,82314856.10099159,353318,10789,4303,247.85861924999998,898.019607,1.2e-05,18868706420.057083,0.480579,245003008.0
2018-07-07,24624490.232296582,388329,8035,3575,178.75387716,664.28063,1.2e-05,18791673503.219395,0.478617,214979008.0
2018-07-08,33164599.09827671,477596,10102,3654,216.968714093382,805.184631,1.2e-05,19329647520.52358,0.492319,226644000.0
2018-07-09,46575072.17024519,442229,10726,4394,201.7830638970615,958.972026,1.2e-05,18739611501.490494,0.477291,206344992.0
2018-07-10,82882062.68023479,529354,11923,5043,332.45666800000004,1605.399624,1.2e-05,18604705741.647552,0.473855,230418000.0
2018-07-11,51350633.08528041,513469,10137,4621,223.83211195,1213.277761,1.2e-05,17476774229.27805,0.445127,183887008.0
2018-07-12,46914455.22841119,547669,10964,4643,177.959185932029,1224.370245,1.2e-05,17663467154.409008,0.449882,182139008.0
2018-07-13,92153686.72332822,460797,12132,4696,130.991740204,1155.289816,1.2e-05,17138606793.613117,0.436514,179403008.0
2018-07-14,17381917.19874487,458352,8951,3834,111.75981180451198,971.900997,1.2e-05,17218977017.251385,0.438561,134840992.0
2018-07-15,20225354.756440077,385809,8728,3838,129.60942006538502,944.612457,1.2e-05,17239943163.36366,0.439095,152903008.0
2018-07-16,49420346.45050918,519595,12083,4616,178.18973095396,1566.868327,1.2e-05,17527265733.78025,0.446413,269283008.0
2018-07-17,61183987.34161357,490587,14149,5334,336.91069999999996,1491.807206,1.2e-05,18897053904.609367,0.481301,347700000.0
2018-07-18,84856471.79145202,596414,15508,5555,350.322480284909,1344.329674,1.2e-05,19832167551.125603,0.505118,367988992.0
2018-07-19,541128952.5721574,588856,12138,4877,248.7225354515,1163.117469,1.2e-05,19169423002.667747,0.487577,293942016.0
2018-07-20,112801680.02276157,591007,13518,5069,463.85338265,1329.513428,1.2e-05,18733333441.41241,0.476485,295403008.0
2018-07-21,37393229.032732554,501401,8861,4084,239.634883769655,710.02707,1.2e-05,17543404965.16815,0.446219,180339008.0
2018-07-22,31508364.03141459,403653,8731,4182,145.60064,648.270855,1.2e-05,17888714612.658306,0.455002,158906000.0
2018-07-23,85700143.79360577,512324,12278,4848,259.5411161413215,960.061514,1.2e-05,17657499078.96989,0.449121,194542000.0
2018-07-24,107487219.26679462,536564,14612,5770,288.762824652695,1022.682911,1.2e-05,17517456613.554436,0.445559,319956000.0
2018-07-25,79316548.06963864,463909,14098,5344,335.299708359527,1075.764909,1.2e-05,17921739786.98193,0.455842,255872000.0
2018-07-26,70021813.15598682,454835,11302,4776,201.904165631565,1327.232093,1.2e-05,18063472826.485977,0.459447,199587008.0
2018-07-27,86069700.82346658,384179,10168,4432,197.159683251885,1114.076739,1.2e-05,17677235551.891064,0.449623,203720992.0
2018-07-28,22619832.882041857,379519,8436,3827,122.737181282406,600.906941,1.2e-05,17872870393.000645,0.454599,157346000.0
