date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),medianTxValue(USD),fees,medianFee,activeAddresses
2017-01-16,0.000237278,1,23727800.0,0.237278,57903.0,0.000237278,0.001,0.001,2
2017-01-17,12.312536775,6,23677500.0,0.236775,36356.0,0.00023677500000000002,0.006,0.001,7
2017-01-18,0.0004902540000000001,2,24512700.0,0.245127,34180.0,0.00024512700000000004,0.002,0.001,2
2017-01-19,0.000505288,2,25264399.999999996,0.252644,33177.0,0.000252644,0.002,0.001,3
2017-01-20,,,23529800.0,0.235298,7215.0,,,,
2017-01-21,,,23477900.0,0.234779,23460.0,,,,
2017-01-22,,,24158300.0,0.241583,21406.0,,,,
2017-01-23,,,24980800.0,0.249808,37598.0,,,,
2017-01-24,2.22922833479852,4,24170800.0,0.241708,22123.0,0.538283716,0.004,0.001,5
2017-01-25,0.00046742800000000004,2,23371400.0,0.233714,22286.0,0.00023371400000000002,0.002,0.001,3
2017-01-26,0.000234656,1,23465600.0,0.234656,40554.0,0.000234656,0.001,0.001,2
2017-01-27,2.1270465720000002,6,23628600.0,0.236286,36451.0,0.11826114299999999,0.006,0.001,7
2017-01-28,338.33870741251303,17,23654300.0,0.236543,18724.0,0.26574583711154,0.017,0.001,15
2017-01-29,1807.7799388098997,13,24477100.0,0.244771,53622.0,24.476855228999998,0.013,0.001,13
2017-01-30,1410.683175784437,11,23908900.0,0.239089,35015.0,48.056410822,0.011,0.001,10
2017-01-31,3099.965902560011,31,23227000.0,0.23227,33927.0,7.284375102513501,0.031,0.001,22
2017-02-01,274.5569864253755,3,22586800.0,0.225868,24365.0,48.69124510537548,0.003,0.001,5
2017-02-02,9382.229498982819,37,23083700.0,0.230837,32076.0,27.446057625999998,0.037,0.001,30
2017-02-03,5327.407209505927,295,21193400.0,0.211934,115688.99999999999,2.1193400000000003e-09,0.295,0.001,21
2017-02-04,122488.80892720552,496,22947100.0,0.229471,58343.0,2.2947100000000002e-09,0.496,0.001,28
2017-02-05,8294.873796371228,550,22132600.0,0.221326,49044.0,2.21326e-09,0.55,0.001,33
2017-02-06,60323.50602295021,549,22474400.0,0.224744,99127.0,2.24744e-09,0.549,0.001,84
2017-02-07,18808.561659733172,1444,26497500.0,0.264975,41996.0,1.9871800125,1.444,0.001,492
2017-02-08,26029.760523834877,2086,25604200.000000004,0.256042,25869.0,1.279953958,2.086,0.001,544
2017-02-09,65528.63683887632,2705,26496100.0,0.264961,42759.0,1.589766,2.705,0.001,539
2017-02-10,48377.935693386964,2664,24845700.0,0.248457,29023.0,2.7330270000000003,2.664,0.001,692
2017-02-11,58334.16837239724,2553,23677200.0,0.236772,48287.0,2.841027228,2.553,0.001,616
2017-02-12,52770.405320379294,2680,24238500.0,0.242385,32410.999999999996,2.423607615,2.685,0.001,584
2017-02-13,878908.7401216328,2517,24996300.0,0.249963,16161.0,5.248973037,2.518,0.001,605
2017-02-14,120552.0037851526,2324,24728000.0,0.24728,155975.0,7.04735636,2.332,0.001,616
2017-02-15,95522.88781385309,2902,24286700.0,0.242867,75001.0,3.885872,2.903,0.001,610
2017-02-16,48629.315424848995,3569,24486300.0,0.244863,60036.0,3.672700137,3.57,0.001,603
2017-02-17,72001.10116285544,3575,24964000.0,0.24964,50195.0,3.49496,3.5765,0.001,587
2017-02-18,97616.18405174847,3145,25302000.000000004,0.25302,50274.0,2.02390698,3.15,0.001,793
2017-02-19,50181.32382139098,3235,24500100.0,0.245001,90623.0,0.0245001,3.235,0.001,815
2017-02-20,53120.51421658543,5032,24111200.0,0.241112,59416.0,0.0241112,5.037,0.001,1075
2017-02-21,104443.25197797394,5560,24612300.0,0.246123,91137.0,0.024612300000000004,5.564,0.001,1270
2017-02-22,42001.08612032087,4949,21918500.0,0.219185,45672.0,0.0219185,4.951,0.001,1005
2017-02-23,117830.86844755677,3982,22570200.0,0.225702,57350.0,0.22547629800000002,3.982,0.001,959
2017-02-24,49206.22323257542,3315,21920500.0,0.219205,63823.0,0.02102645706315,3.317,0.001,828
2017-02-25,54589.44736300862,2877,22064100.0,0.220641,78333.0,0.220641,2.888,0.001,787
2017-02-26,275441.7769627417,3006,21494400.0,0.214944,57827.0,1.289664,3.007,0.001,780
2017-02-27,32044.757636516384,3457,21550500.0,0.215505,56478.0,1.077525,3.458,0.001,726
2017-02-28,128088.01725491088,3727,22230800.0,0.222308,180411.0,0.6669240000000001,4.828,0.001,777
2017-03-01,102440.48711204775,3424,19577300.0,0.195773,76347.0,0.9786692269999999,3.425,0.001,746
2017-03-02,130691.32722277305,4373,19598000.0,0.19598,121697.0,1.1758799999999998,5.375,0.001,924
2017-03-03,390524.672244217,3935,18889400.0,0.188894,54215.0,0.94447,3.9365,0.001,818
2017-03-04,37591.919073042765,3199,20255900.0,0.202559,35096.0,0.404915441,3.199,0.001,795
2017-03-05,62619.7818468282,3255,19563400.0,0.195634,104482.0,0.586706366,3.256,0.001,740
2017-03-06,51575.62800847251,3541,22740000.0,0.2274,316545.0,0.6819726,3.541,0.001,801
2017-03-07,82140.23499993357,5844,23899700.0,0.238997,249683.0,2.628967,5.845,0.001,742
2017-03-08,49041.52352238037,3917,21401800.0,0.214018,199352.0,1.283893982,3.918,0.001,733
2017-03-09,57889.95822294124,4542,19562900.0,0.195629,239610.99999999997,2.738806,4.542,0.001,779
2017-03-10,118099.49400460388,5830,20577300.0,0.205773,189922.0,3.086389227,5.832,0.001,833
2017-03-11,73566.50148683482,6110,19919000.0,0.19919,169005.0,1.59332081,6.111,0.001,872
2017-03-12,169170.9287319113,13442,21886800.0,0.218868,1056330.0,0.018474125879820003,13.459,0.001,3838
2017-03-13,117851.66463209328,4419,25762900.000000004,0.257629,691705.0,1.8031453709999998,4.42,0.001,820
2017-03-14,220419.45346117855,4279,27148699.999999996,0.271487,209764.0,1.9004089999999998,4.27901,0.001,869
2017-03-15,307594.30629272887,5433,25535999.999999996,0.25536,399122.0,5.1072,5.445,0.001,781
2017-03-16,147419.10966308895,4793,30128100.000000004,0.301281,236330.99999999997,3.9163517190000006,4.798,0.001,759
2017-03-17,180914.36690069662,3895,31049200.0,0.310492,212020.99999999997,3.10492,3.896,0.001,752
2017-03-18,127609.90653777131,6219,26775400.0,0.267754,230859.0,2.945026246,6.22,0.001,1029
2017-03-19,206918.8186687594,6088,26392300.000000004,0.263923,184119.0,2.6656223,6.0905,0.001,833
2017-03-20,462201.5597440224,6491,28364200.0,0.283642,157842.0,2.552778,6.4915,0.001,807
2017-03-21,161730.56033674575,5381,28369300.0,0.283693,169660.0,2.552953307,5.3815,0.001,764
2017-03-22,158637.47141177533,6006,29040100.000000004,0.290401,161794.0,4.065323599,6.008,0.001,715
2017-03-23,158008.61092039003,5948,27533600.000000004,0.275336,144537.0,1.6520160000000002,5.961,0.001,962
2017-03-24,256743.5145236396,4948,27268900.000000004,0.272689,263578.0,1.908550311,4.951,0.001,902
2017-03-25,238647.1396516852,6756,28087600.000000007,0.280876,270956.0,1.404099124,6.759,0.001,1076
2017-03-26,372062.7909763369,5933,29638800.0,0.296388,230424.0,1.4816436119999998,5.9345,0.001,1019
2017-03-27,300753.1862271339,4596,32249800.0,0.322498,288109.0,0.322175502,4.599,0.001,1147
2017-03-28,320781.9029968006,4015,35840300.0,0.358403,229631.00000000003,3.2256270000000002,4.019,0.001,994
2017-03-29,383804.44177797745,3770,37404200.0,0.374042,297157.0,7.1067979999999995,3.771,0.001,896
2017-03-30,1196800.491237228,3786,40277900.0,0.402779,346511.0,7.6523982209999994,4.95437238,0.001,997
2017-03-31,279805.01195354736,4099,38145600.0,0.381456,274899.0,3.051648,4.109,0.001,930
2017-04-01,486824.132496765,4485,37664400.0,0.376644,312547.0,2.636131356,4.487,0.001,875
2017-04-02,504117.52681713074,5176,35004500.0,0.350045,351514.0,3.50045,5.188,0.001,879
2017-04-03,337846.92893583735,6307,34373600.0,0.343736,279890.0,2.749888,6.318,0.001,1425
2017-04-04,409763.1192909098,3367,38360500.0,0.383605,204891.00000000003,0.38322139499999996,3.389,0.001,1335
2017-04-05,375035.2617040915,4664,37088600.0,0.370886,379711.0,3.7084891140000003,4.716,0.001,1072
2017-04-06,293417.3620820313,2986,41780700.0,0.417807,260516.0,0.417807,2.988,0.001,958
2017-04-07,375369.6494421375,3484,39945700.0,0.399457,305879.0,2.396342543,3.487,0.001,808
2017-04-08,386934.7787299782,4182,38509800.0,0.385098,142979.0,4.620790902,4.183,0.001,805
2017-04-09,359379.937699946,2702,38094800.0,0.380948,190894.0,3.80948,2.7045,0.001,793
2017-04-10,151151.7516405778,2261,39278400.0,0.392784,259204.00000000003,3.534663216,3.269,0.001,801
2017-04-11,246144.6443005438,2624,41460400.0,0.414604,266946.0,5.804456,2.625,0.001,851
2017-04-12,706161.1913752867,3700,44729600.0,0.447296,373385.0,4.025664,3.706,0.001,882
2017-04-13,374944.1958737255,3492,41905100.0,0.419051,200220.0,1.2569434744999999,3.492,0.001,866
2017-04-14,330467.41545785114,4485,43739900.0,0.437399,131218.0,1.3117596009999999,4.492,0.001,949
2017-04-15,353640.92668425594,5776,42927900.0,0.429279,211117.0,3.8635110000000004,5.782,0.001,889
2017-04-16,142724.07401979083,4566,42607600.0,0.426076,96846.0,0.852152,4.573,0.001,926
2017-04-17,621306.5827400233,4327,43298900.0,0.432989,313608.0,0.02303368985366,4.327,0.001,1042
2017-04-18,566161.1010176447,5101,44513600.0,0.445136,257694.0,0.021373080401919996,5.102,0.001,957
2017-04-19,235951.92438096696,4924,43130600.0,0.431306,379471.0,0.02001673462454,4.926,0.001,992
2017-04-20,571061.0932964451,5358,45792400.0,0.457924,302686.0,0.915848,5.3705,0.001,1071
2017-04-21,300491.0901622612,7432,46138700.0,0.461387,180213.0,4.1520216130000005,7.433,0.001,1006
2017-04-22,383841.05480475177,6197,46081200.0,0.460812,195745.0,5.068471188,6.2,0.001,1012
2017-04-23,479459.7237921702,5161,47314100.0,0.473141,479973.0,4.258268999999999,5.1645,0.001,1147
2017-04-24,1659356.1017836884,4132,56352200.0,0.563522,681176.9999999999,5.634656478,4.1405,0.001,1263
2017-04-25,603329.3797739543,4352,56225200.0,0.562252,484929.00000000006,2.249008,4.354,0.001,1251
2017-04-26,413789.52833684994,5738,54962500.000000015,0.549625,407189.0,2.747575375,6.137,0.001,1156
2017-04-27,472457.6773333324,7934,55810900.00000001,0.558109,350409.0,0.01590350013097,8.036,0.001,3848
2017-04-28,538355.5573663522,5529,55961399.99999999,0.559614,377319.0,2.8260506999999997,5.533,0.001,1192
2017-04-29,456627.8706792157,6073,60207900.0,0.602079,334335.0,1.204158,6.077,0.001,1420
2017-04-30,467666.2346909539,5980,58429100.0,0.584291,265313.0,0.584291,5.982,0.001,1608
2017-05-01,414831.051890779,6355,59976400.0,0.599764,363534.99999999994,0.599164236,6.355,0.001,1206
2017-05-02,516919.26926086185,5648,59731400.0,0.597314,319906.0,4.43356139396399,5.648,0.001,1633
2017-05-03,1278178.5317419332,3298,62271700.0,0.622717,443313.0,3.736302,3.298,0.001,1341
2017-05-04,842942.3150771407,3381,66992099.99999999,0.669921,450198.0,0.00567187274808,3.3845,0.001,1576
2017-05-05,1638117.7232772578,2809,71819700.0,0.718197,500678.00000000006,0.00586245537978,3.8040002,0.001,1444
2017-05-06,630460.4007593027,3931,73337900.0,0.733379,526869.0,0.0055385882148499994,3.89850041,0.001,1656
2017-05-07,510254.0395604065,3631,76730100.0,0.767301,689834.0,0.00398741008767,3.54100094,0.001,1207
2017-05-08,1162015.281966285,3329,80095600.0,0.800956,620587.0,0.00528876052536,3.29100048,0.001,1417
2017-05-09,603134.0338942567,4453,83062700.0,0.830627,845264.0,0.00452154299331,4.39600059,0.001,1315
2017-05-10,4301831.818310173,5827,91455146.82333334,0.910802,2897830.0,0.00661371585884,5.9185,0.001,1870
