date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),fees,activeAddresses,medianTxValue(USD),medianFee
2016-01-20,59380.93867484469,740,4145871.133663366,0.000461,252739.99999999997,22169.98363,110,0.0046099999999999995,15.0
2016-01-21,34100.44035772518,635,5240876.423076924,0.000582,81548.0,14336.118253,55,0.0058200000000000005,15.0
2016-01-22,50300.7277287419,590,4229050.6,0.00047,52632.0,12965.328325,50,0.0047,15.0
2016-01-23,21828.618148915255,564,4073012.604395604,0.000453,68777.0,11103.044269,42,0.00453,15.0
2016-01-24,14426.82652434636,547,4197767.491525424,0.000466,28556.0,11096.653125,38,0.00466,15.0
2016-01-25,15458.627541985385,560,3713812.5989445914,0.000413,27464.0,10610.984877,58,0.00413,15.0
2016-01-26,30692.691520801985,558,3408176.540669856,0.000379,26105.0,11623.39899,39,0.00379,15.0
2016-01-27,33747.83928878938,568,3751826.075829384,0.000417,35648.0,12895.521695,41,0.00417,15.0
2016-01-28,23464.90397354611,549,3796158.545454546,0.000422,19034.0,10879.230317,32,0.00422,15.0
2016-01-29,5735.023752695688,556,3561195.0000000005,0.000396,19446.0,9786.489198,42,0.00396,15.0
2016-01-30,5387.6339908347845,560,3851876.0085836905,0.000428,35814.0,10543.68276,52,0.00428,15.0
2016-01-31,18122.163825332875,388,4121420.7372708754,0.000458,46422.0,7504.843047,47,0.00458,15.0
2016-02-01,10265.712138975436,738,4445736.923076923,0.000494,52135.0,25705.775214,111,0.00494,16.0
2016-02-02,11356.064636517001,688,4562984.479591836,0.000507,114264.0,16077.801188,51,0.00507,14.0
2016-02-03,65659.161931038,641,5225007.7,0.000581,91762.0,14561.912462,71,0.00581,14.0
2016-02-04,112208.02207819106,596,5659888.522462563,0.000629,78974.0,13635.487896,50,0.0062900000000000005,15.0
2016-02-05,12187.440387455135,533,5405091.118858953,0.000601,24322.0,10409.223348,38,0.00601,15.0
2016-02-06,25693.5993862003,535,5675694.714511041,0.000631,16085.999999999998,9958.491379,33,0.0063100000000000005,15.0
2016-02-07,24256.726150297025,532,5707619.524752476,0.000634,24609.0,10635.642103,41,0.00634,15.0
2016-02-08,15632.405600448748,543,5455423.586440677,0.000606,15958.000000000002,10323.680478,41,0.006059999999999999,15.0
2016-02-09,15580.88540992908,530,5313637.790055249,0.00059,18947.0,9761.444085,40,0.005900000000000001,15.0
2016-02-10,24476.15665085118,338,4924141.0317757,0.000547,23021.0,8277.487061,45,0.005469999999999999,15.0
2016-02-11,27838.820762348005,571,4819139.377470355,0.000535,21143.0,13222.875236,59,0.00535,16.0
2016-02-12,20114.93530344792,632,4645814.896551724,0.000516,31204.0,11608.736547,81,0.00516,14.0
2016-02-13,21050.587950770718,577,5452795.494699647,0.000606,21921.0,10892.476338,62,0.006059999999999999,14.0
2016-02-14,23572.471141323844,537,5102123.7272727275,0.000567,8013.0,10006.153366,49,0.00567,15.0
2016-02-15,5008.363214277535,491,5355778.235294118,0.000595,8518.0,8609.342227,34,0.00595,15.0
2016-02-16,15344.90433996226,587,5203887.984555984,0.000578,33862.0,12140.294614,37,0.0057799999999999995,15.0
2016-02-17,17745.38779115092,611,4689221.369098713,0.000521,23223.0,13678.53327,45,0.005209999999999999,15.0
2016-02-18,26091.880126111126,639,4194165.6517055654,0.000466,57118.0,16864.431066,47,0.00466,16.0
2016-02-19,10182.226663384161,563,5037564.743362831,0.00056,33913.0,10878.016995,31,0.005599999999999999,15.0
2016-02-20,40966.87848207982,631,5088641.732673267,0.000565,84725.0,17828.993538,39,0.00565,15.049077
2016-02-21,6256.881589192309,260,5371214.410876133,0.000597,46199.00000000001,5479.254771,22,0.00597,16.0
2016-02-22,13609.530650940345,256,5960489.910447761,0.000662,48507.0,7970.729321,25,0.006620000000000001,16.0
2016-02-23,15796.751703153224,551,6039913.305555556,0.000671,28674.0,10730.340994,21,0.006710000000000001,15.0
2016-02-24,32389.441407430277,442,5830638.304147465,0.000648,33792.0,11429.0634,21,0.0064800000000000005,16.0
2016-02-25,12983.704807892977,111,5835096.8012718605,0.000648,39616.0,6329.707096,25,42.986612426040004,37.0
2016-02-26,8388.360201284831,56,5690363.386046512,0.000632,20449.0,3026.49593,32,42.272954165244,43.4902395
2016-02-27,3432.807543117335,290,5826332.603421462,0.000647,14847.0,5819.056343,21,0.00647,15.0
2016-02-28,7593.231991215398,507,5784637.417431193,0.000643,12969.0,8866.350696,17,0.00643,15.0
2016-02-29,11401.792662973836,528,5884680.88098918,0.000654,19328.0,10454.821242,28,0.00654,15.0
2016-03-01,9068.69796079107,524,5711933.19267516,0.000635,14850.0,9622.8138,26,0.006350000000000001,15.0
2016-03-02,8600.091151342243,513,5652438.139534884,0.000628,18524.0,8462.351794,25,0.00628,15.0
2016-03-03,9418.094727762253,521,5800560.158677687,0.000644,22400.0,9574.056306,27,0.00644,15.0
2016-03-04,20402.03395634241,522,5450515.262166405,0.000606,21494.0,9738.839217,31,0.006059999999999999,15.0
2016-03-05,23836.74971652127,611,5644058.559943582,0.000627,77590.0,15777.562317,38,0.0062699999999999995,15.0
2016-03-06,65668.10248517156,699,6379348.15915628,0.000709,348109.0,20028.971158,66,0.00709,16.0
2016-03-07,225747.2374430622,748,9434093.415536376,0.001048,627920.0,33535.105798,141,10.48,18.0
2016-03-08,140470.5092909846,317,14561020.293577982,0.001618,260891.0,19565.856811,84,161.45213,60.0
2016-03-09,167281.65861637724,589,14854804.74040632,0.00165,367893.0,25158.871919,93,13.2,18.0
2016-03-10,56716.53403924592,680,11972160.649819493,0.00133,161400.0,18673.388987,52,0.0133,15.0
2016-03-11,34487.5004784501,592,12396503.973214285,0.001377,61167.0,12954.629535,55,0.01377,15.0
2016-03-12,50363.84332195476,550,12066435.890109891,0.001341,99260.0,22807.375405,59,0.01341,15.0
2016-03-13,61440.783444207904,438,12153805.369127516,0.00135,95887.0,12447.24578,52,0.013500000000000002,16.0
2016-03-14,75936.27835955845,454,12052631.106687896,0.001339,134782.0,16030.751914,55,0.013389999999999999,15.0
2016-03-15,56681.85644239005,315,11297917.191283293,0.001255,98868.0,12293.232799,50,0.01255,16.0
2016-03-16,57009.531647503514,125,11217635.938566552,0.001246,116986.00000000001,9236.653041,46,201.229451191552,82.906707
2016-03-17,34010.4972657831,357,10564213.282090697,0.001174,131175.0,40040.998818,47,0.011739999999999999,15.0
2016-03-18,10584.689842050464,236,11560894.082840234,0.001285,47825.0,64858.749486,38,0.012849999999999999,16.0
2016-03-19,20584.540159055967,47,10637342.318392582,0.001182,65195.0,2208.851513,28,12.960319677720001,11.973878
2016-03-20,17438.9287826806,251,11695467.312348666,0.0013,62747.0,16761.964566,40,0.013,15.0
2016-03-21,16372.884842209114,544,11141911.36038186,0.001238,50078.99999999999,10612.596883,44,0.012379999999999999,15.0
2016-03-22,11781.955903101532,539,11309442.45283019,0.001257,31594.000000000004,10100.30858,51,0.012570000000000001,15.0
2016-03-23,10577.90461396158,550,11337999.846625768,0.00126,61730.0,9160.351675,54,0.0126,14.5
2016-03-24,14484.372450890854,528,11735345.92356688,0.001304,48528.0,9721.895141,33,0.01304,15.0
2016-03-25,12766.195062298353,523,11327640.649038462,0.001259,37992.0,9229.927891,33,0.012589999999999999,15.0
